Location,Period,Price,Demand,Supply,Netflow,f_to_1,f_to_2,f_to_3,f_to_4,transfer_surplus
1,8,308.925,10281.6,-9381.599999999999,900.0000000000018,0.0,0.0,0.0,0.0,0.0
2,8,67.005,1075.0,-1375.0,-300.0,300.0,0.0,300.0,0.0,144297.0
3,8,306.075,6890.4000000000015,-6590.4,300.0000000000018,300.0,0.0,0.0,0.0,855.0000000000068
4,8,37.125,1047.2,-1947.2,-900.0,300.0,300.0,300.0,0.0,171189.0
1,9,225.37500000000003,9908.7,-9519.8,388.90000000000146,0.0,0.0,211.10000000000025,0.0,0.0
2,9,37.125,1056.0,-1417.0,-361.0,300.0,0.0,300.0,0.0,112950.00000000001
3,9,225.37500000000003,7058.54,-6247.44,811.1000000000004,0.0,0.0,0.0,0.0,0.0
4,9,37.125,1199.1999999999998,-2038.2,-839.0000000000002,300.0,239.0,300.0,0.0,112950.00000000001
1,10,225.375,9860.2,-9560.199999999999,300.0000000000018,0.0,0.0,300.0,0.0,16740.000000000004
2,10,37.125,708.0,-1510.72,-802.72,300.0,0.0,300.0,202.72000000000003,129690.0
3,10,281.175,7133.200000000001,-6233.2,900.0000000000009,0.0,0.0,0.0,0.0,0.0
4,10,37.125,1211.2,-1608.48,-397.28,300.0,0.0,300.0,0.0,129690.0
1,11,225.375,9860.5,-9560.5,300.0,0.0,0.0,300.0,0.0,16740.000000000004
2,11,37.125,604.0,-1239.0,-635.0,300.0,0.0,300.0,35.0,129690.0
3,11,281.175,7380.480000000001,-6480.48,900.0000000000018,0.0,0.0,0.0,0.0,0.0
4,11,37.125,1211.2,-1776.1999999999998,-564.9999999999998,300.0,0.0,300.0,0.0,129690.0
1,12,225.375,9860.7,-9560.699999999999,300.0000000000018,0.0,0.0,300.0,0.0,16740.000000000004
2,12,37.125,565.08,-1451.0,-885.92,300.0,0.0,300.0,285.91999999999996,129690.0
3,12,281.175,7419.68,-6519.6799999999985,900.0000000000018,0.0,0.0,0.0,0.0,0.0
4,12,37.125,1211.2,-1525.28,-314.0799999999999,300.0,0.0,300.0,0.0,129690.0
1,13,281.175,9861.099999999999,-9561.099999999999,300.0,0.0,0.0,300.0,0.0,0.0
2,13,37.125,708.0,-1309.12,-601.1199999999999,300.0,0.0,300.0,1.1200000000000045,146430.0
3,13,281.175,7414.96,-6514.959999999999,900.0000000000009,0.0,0.0,0.0,0.0,0.0
4,13,37.125,1211.2,-1810.08,-598.8799999999999,300.0,0.0,300.0,0.0,146430.0
